GID_0,GID_1,GID_3,population,area_km2,population_km2
BGD,BGD.4,BGD.4.2.4_1,193483.8139,202,957.840663
BGD,BGD.4,BGD.4.3.1_1,296373.2057,247,1199.891521
BGD,BGD.4,BGD.4.3.2_1,241198.2545,274,880.2856005
BGD,BGD.4,BGD.4.3.3_1,266889.1528,278,960.0329239
BGD,BGD.4,BGD.4.3.4_1,334621.1446,309,1082.916326
BGD,BGD.4,BGD.4.3.5_1,270051.2469,257,1050.783062
BGD,BGD.4,BGD.4.3.6_1,828295.7835,436,1899.760971
BGD,BGD.4,BGD.4.3.7_1,464291.5645,445,1043.35183
BGD,BGD.4,BGD.4.3.8_1,371407.8443,333,1115.338872
BGD,BGD.4,BGD.4.4.1_1,226397.029,229,988.6333144
BGD,BGD.4,BGD.4.4.2_1,509262.4629,462,1102.299703
BGD,BGD.4,BGD.4.4.3_1,316420.0168,313,1010.926571
BGD,BGD.4,BGD.4.4.4_1,160587.8521,172,933.6503026
BGD,BGD.4,BGD.4.4.5_1,326359.1955,403,809.8243064
BGD,BGD.4,BGD.4.4.6_1,403470.2171,375,1075.920579
BGD,BGD.4,BGD.4.5.1_1,154171.6372,226,682.175386
BGD,BGD.4,BGD.4.5.2_1,144384.9564,765,188.7385051
BGD,BGD.4,BGD.4.5.3_1,103229.5005,15,6881.966699
BGD,BGD.4,BGD.4.5.4_1,201450.6685,77,2616.242449
BGD,BGD.4,BGD.4.5.5_1,285988.0826,456,627.1668477
BGD,BGD.4,BGD.4.5.6_1,143775.6431,13,11059.66485
BGD,BGD.4,BGD.4.5.7_1,77829.72252,26,2993.450866
BGD,BGD.4,BGD.4.5.8_1,243325.7332,12,20277.14443
BGD,BGD.4,BGD.4.5.9_1,187402.685,1261,148.6143418
BGD,BGD.4,BGD.4.5.10_1,256153.6002,373,686.7388745
BGD,BGD.4,BGD.4.5.11_1,49365.45832,56,881.5260415
BGD,BGD.4,BGD.4.5.12_1,206447.0485,120,1720.392071
BGD,BGD.4,BGD.4.5.13_1,132544.394,9,14727.15489
BGD,BGD.4,BGD.4.5.14_1,101826.9424,184,553.4072956
BGD,BGD.4,BGD.4.6.1_1,238001.4099,156,1525.650063
BGD,BGD.4,BGD.4.6.2_1,475325.3365,462,1028.84272
BGD,BGD.4,BGD.4.6.3_1,153995.84,107,1439.213458
