GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,area_m2
USA,United States,USA.47_1,Virginia,,USA.47.45_1,Fluvanna,,,County,County,,US.VA.FV,748147523
USA,United States,USA.47_1,Virginia,,USA.47.46_1,Franklin,,,County,County,,US.VA.FN,1870556046
USA,United States,USA.47_1,Virginia,,USA.47.47_1,Frederick,,,County,County,,US.VA.FK,1076737062
USA,United States,USA.47_1,Virginia,,USA.47.48_1,Fredericksburg,,,Independent City,Independent City,,US.VA.FB,27550368
USA,United States,USA.47_1,Virginia,,USA.47.49_1,Galax,,,Independent City,Independent City,,US.VA.GA,23595512
USA,United States,USA.47_1,Virginia,,USA.47.50_1,Giles,,,County,County,,US.VA.GI,937963023
USA,United States,USA.47_1,Virginia,,USA.47.51_1,Gloucester,,,County,County,,US.VA.GL,578473098
USA,United States,USA.47_1,Virginia,,USA.47.52_1,Goochland,,,County,County,,US.VA.GO,751247836
USA,United States,USA.47_1,Virginia,,USA.47.53_1,Grayson,,,County,County,,US.VA.GY,1162560187
USA,United States,USA.47_1,Virginia,,USA.47.54_1,Greene,,,County,County,,US.VA.GE,409990079
USA,United States,USA.47_1,Virginia,,USA.47.55_1,Greensville,,,County,County,,US.VA.GS,766467034
USA,United States,USA.47_1,Virginia,,USA.47.56_1,Halifax,,,County,County,,US.VA.HL,2135881041
USA,United States,USA.47_1,Virginia,,USA.47.57_1,Hampton,,,Independent City,Independent City,,US.VA.HM,138574869
USA,United States,USA.47_1,Virginia,,USA.47.58_1,Hanover,,,County,County,,US.VA.HV,1229954643
USA,United States,USA.47_1,Virginia,,USA.47.59_1,Harrisonburg,,,Independent City,Independent City,,US.VA.HS,45902850
USA,United States,USA.47_1,Virginia,,USA.47.60_1,Henrico,,,County,County,,US.VA.HC,624319510
USA,United States,USA.47_1,Virginia,,USA.47.61_1,Henry,,,County,County,,US.VA.HY,997899704
USA,United States,USA.47_1,Virginia,,USA.47.62_1,Highland,,,County,County,,US.VA.HA,1087484652
